Nationality,Single Age Group,Five-Year Age Group,Governorate,Region,Gender,Population
Non-Saudi,24,20-24,,,Male,101
Saudi,24,20-24,,,Male,134
Non-Saudi,24,20-24,,,Male,203
Saudi,24,20-24,,,Male,252
Non-Saudi,24,20-24,,,Male,251
Saudi,24,20-24,,,Male,229
Non-Saudi,24,20-24,,,Male,389
Saudi,24,20-24,,,Male,286
Non-Saudi,24,20-24,,,Male,477
Saudi,24,20-24,,,Male,133
Non-Saudi,24,20-24,,,Male,283
Saudi,24,20-24,,,Male,526
Non-Saudi,24,20-24,,,Male,502
Saudi,24,20-24,,,Male,56
Non-Saudi,24,20-24,,,Male,52
Saudi,24,20-24,,,Male,679
Non-Saudi,24,20-24,,,Male,428
Saudi,24,20-24,,,Male,268
Non-Saudi,24,20-24,,,Male,251
Saudi,24,20-24,,,Male,388
Non-Saudi,24,20-24,,,Male,335
Saudi,24,20-24,,,Male,446
Non-Saudi,24,20-24,,,Male,466
Saudi,24,20-24,,,Male,766
Non-Saudi,24,20-24,,,Male,855
Saudi,24,20-24,,,Male,60
Non-Saudi,24,20-24,,,Male,47
Saudi,24,20-24,,,Male,289
Non-Saudi,24,20-24,,,Male,428
Saudi,24,20-24,,,Male,358
Non-Saudi,24,20-24,,,Male,177
Saudi,24,20-24,,,Male,4368
Non-Saudi,24,20-24,,,Male,6390
Saudi,24,20-24,,,Male,202
Non-Saudi,24,20-24,,,Male,181
Saudi,24,20-24,,,Male,129
Non-Saudi,24,20-24,,,Male,137
Saudi,24,20-24,,,Male,144
Non-Saudi,24,20-24,,,Male,126
Saudi,24,20-24,,,Male,1123
Non-Saudi,24,20-24,,,Male,1670
Saudi,24,20-24,,,Male,188
Non-Saudi,24,20-24,,,Male,188
Saudi,24,20-24,,,Male,365
Non-Saudi,24,20-24,,,Male,95
Saudi,24,20-24,,,Male,399
Non-Saudi,24,20-24,,,Male,308
Saudi,24,20-24,,,Male,186
Non-Saudi,24,20-24,,,Male,50
Saudi,24,20-24,,,Male,8026
Non-Saudi,24,20-24,,,Male,13212
Saudi,24,20-24,,,Male,365
Non-Saudi,24,20-24,,,Male,181
Saudi,24,20-24,,,Male,410
Non-Saudi,24,20-24,,,Male,244
Saudi,24,20-24,,,Male,359
Non-Saudi,24,20-24,,,Male,154
Saudi,24,20-24,,,Male,157
Non-Saudi,24,20-24,,,Male,49
Saudi,24,20-24,,,Male,1803
Non-Saudi,24,20-24,,,Male,2649
Saudi,24,20-24,,,Male,7592
Non-Saudi,24,20-24,,,Male,5738
Saudi,24,20-24,,,Male,1700
Non-Saudi,24,20-24,,,Male,6614
Saudi,24,20-24,,,Male,2192
Non-Saudi,24,20-24,,,Male,7859
Saudi,24,20-24,,,Male,509
Non-Saudi,24,20-24,,,Male,513
Saudi,24,20-24,,,Male,7653
Non-Saudi,24,20-24,,,Male,14808
Saudi,24,20-24,,,Male,48
Non-Saudi,24,20-24,,,Male,56
Saudi,24,20-24,,,Male,3388
Non-Saudi,24,20-24,,,Male,2956
Saudi,24,20-24,,,Male,417
Non-Saudi,24,20-24,,,Male,523
Saudi,24,20-24,,,Male,334
Non-Saudi,24,20-24,,,Male,647
Saudi,24,20-24,,,Male,2754
Non-Saudi,24,20-24,,,Male,3048
Saudi,24,20-24,,,Male,266
Non-Saudi,24,20-24,,,Male,815
Saudi,24,20-24,,,Male,138
Non-Saudi,24,20-24,,,Male,107
Saudi,24,20-24,,,Male,124
Non-Saudi,24,20-24,,,Male,120
Saudi,24,20-24,,,Male,336
Non-Saudi,24,20-24,,,Male,294
Saudi,24,20-24,,,Male,484
Non-Saudi,24,20-24,,,Male,445
Saudi,24,20-24,,,Male,4113
Non-Saudi,24,20-24,,,Male,3854
Saudi,24,20-24,,,Male,250
Non-Saudi,24,20-24,,,Male,247
Saudi,24,20-24,,,Male,189
Non-Saudi,24,20-24,,,Male,172
Saudi,24,20-24,,,Male,325
Non-Saudi,24,20-24,,,Male,608
Saudi,24,20-24,,,Male,1198
Non-Saudi,24,20-24,,,Male,1109
Saudi,24,20-24,,,Male,877
Non-Saudi,24,20-24,,,Male,529
Saudi,24,20-24,,,Male,66
Non-Saudi,24,20-24,,,Male,32
Saudi,24,20-24,,,Male,384
Non-Saudi,24,20-24,,,Male,147
Saudi,24,20-24,,,Male,487
Non-Saudi,24,20-24,,,Male,402
Saudi,24,20-24,,,Male,123
Non-Saudi,24,20-24,,,Male,18
Saudi,24,20-24,,,Male,286
Non-Saudi,24,20-24,,,Male,99
Saudi,24,20-24,,,Male,641
Non-Saudi,24,20-24,,,Male,213
Saudi,24,20-24,,,Male,271
Non-Saudi,24,20-24,,,Male,140
Saudi,24,20-24,,,Male,521
Non-Saudi,24,20-24,,,Male,607
Saudi,24,20-24,,,Male,1072
Non-Saudi,24,20-24,,,Male,1866
Saudi,24,20-24,,,Male,1083
Non-Saudi,24,20-24,,,Male,835
Saudi,24,20-24,,,Male,1248
Non-Saudi,24,20-24,,,Male,1493
Saudi,24,20-24,,,Male,390
Non-Saudi,24,20-24,,,Male,329
Saudi,24,20-24,,,Male,65
Non-Saudi,24,20-24,,,Male,64
Saudi,24,20-24,,,Male,143
Non-Saudi,24,20-24,,,Male,46
Saudi,24,20-24,,,Male,260
Non-Saudi,24,20-24,,,Male,76
Saudi,24,20-24,,,Male,578
Non-Saudi,24,20-24,,,Male,206
Saudi,24,20-24,,,Male,137
Non-Saudi,24,20-24,,,Male,43
Saudi,24,20-24,,,Male,156
Non-Saudi,24,20-24,,,Male,91
Saudi,24,20-24,,,Male,158
Non-Saudi,24,20-24,,,Male,168
Saudi,24,20-24,,,Male,95
Non-Saudi,24,20-24,,,Male,45
Saudi,24,20-24,,,Male,347
Non-Saudi,24,20-24,,,Male,441
Saudi,24,20-24,,,Male,3052
Non-Saudi,24,20-24,,,Male,3761
Saudi,24,20-24,,,Male,137
Non-Saudi,24,20-24,,,Male,160
Saudi,24,20-24,,,Male,131
Non-Saudi,24,20-24,,,Male,54
Saudi,24,20-24,,,Male,2577
Non-Saudi,24,20-24,,,Male,3332
Saudi,24,20-24,,,Male,700
Non-Saudi,24,20-24,,,Male,508
Saudi,24,20-24,,,Male,64
Non-Saudi,24,20-24,,,Male,21
Saudi,24,20-24,,,Male,195
Non-Saudi,24,20-24,,,Male,53
Saudi,24,20-24,,,Male,116
Non-Saudi,24,20-24,,,Male,75
Saudi,24,20-24,,,Male,320
Non-Saudi,24,20-24,,,Male,291
Saudi,24,20-24,,,Male,160
Non-Saudi,24,20-24,,,Male,380
Saudi,24,20-24,,,Male,346
Non-Saudi,24,20-24,,,Male,133
Saudi,24,20-24,,,Male,352
Non-Saudi,24,20-24,,,Male,329
Saudi,24,20-24,,,Male,1153
Non-Saudi,24,20-24,,,Male,1310
Saudi,24,20-24,,,Male,258
Non-Saudi,24,20-24,,,Male,150
Saudi,24,20-24,,,Male,99
Non-Saudi,24,20-24,,,Male,142
Saudi,24,20-24,,,Male,3256
Non-Saudi,24,20-24,,,Male,5440
Saudi,24,20-24,,,Male,393
Non-Saudi,24,20-24,,,Male,184
Saudi,24,20-24,,,Male,362
Non-Saudi,24,20-24,,,Male,253
Saudi,24,20-24,,,Male,147
Non-Saudi,24,20-24,,,Male,77
Saudi,24,20-24,,,Male,203
Non-Saudi,24,20-24,,,Male,214
Saudi,24,20-24,,,Male,1593
Non-Saudi,24,20-24,,,Male,1460
Saudi,24,20-24,,,Male,284
Non-Saudi,24,20-24,,,Male,98
Saudi,24,20-24,,,Male,544
Non-Saudi,24,20-24,,,Male,455
Saudi,24,20-24,,,Male,274
Non-Saudi,24,20-24,,,Male,280
Saudi,24,20-24,,,Male,5851
Non-Saudi,24,20-24,,,Male,5124
Saudi,24,20-24,,,Male,436
Non-Saudi,24,20-24,,,Male,279
Saudi,24,20-24,,,Male,1261
Non-Saudi,24,20-24,,,Male,1199
Saudi,24,20-24,,,Male,127
Non-Saudi,24,20-24,,,Male,65
Saudi,24,20-24,,,Male,518
Non-Saudi,24,20-24,,,Male,326
Saudi,24,20-24,,,Male,229
Non-Saudi,24,20-24,,,Male,95
Saudi,24,20-24,,,Male,547
Non-Saudi,24,20-24,,,Male,720
Saudi,24,20-24,,,Male,319
Non-Saudi,24,20-24,,,Male,181
Saudi,24,20-24,,,Male,15569
Non-Saudi,24,20-24,,,Male,30983
Saudi,24,20-24,,,Male,319
Non-Saudi,24,20-24,,,Male,268
Saudi,24,20-24,,,Male,541
Non-Saudi,24,20-24,,,Male,1052
Saudi,24,20-24,,,Male,338
Non-Saudi,24,20-24,,,Male,266
Saudi,24,20-24,,,Male,11370
Non-Saudi,24,20-24,,,Male,27183
Saudi,24,20-24,,,Male,177
Non-Saudi,24,20-24,,,Male,86
Saudi,24,20-24,,,Male,59
Non-Saudi,24,20-24,,,Male,29
Saudi,24,20-24,,,Male,75
Non-Saudi,24,20-24,,,Male,64
Saudi,24,20-24,,,Male,142
Non-Saudi,24,20-24,,,Male,176
Saudi,24,20-24,,,Male,46
Non-Saudi,24,20-24,,,Male,50
Saudi,24,20-24,,,Male,546
Non-Saudi,24,20-24,,,Male,643
Saudi,24,20-24,,,Male,2172
Non-Saudi,24,20-24,,,Male,3625
Saudi,24,20-24,,,Male,99
Non-Saudi,24,20-24,,,Male,76
Saudi,25,25-29,Al Bahah (Emirate HQ),Al Bahah,Female,422
Non-Saudi,25,25-29,Al Bahah (Emirate HQ),Al Bahah,Female,140
Saudi,25,25-29,Al Hujrah,Al Bahah,Female,87
Non-Saudi,25,25-29,Al Hujrah,Al Bahah,Female,7
Saudi,25,25-29,Al Aqiq,Al Bahah,Female,272
Non-Saudi,25,25-29,Al Aqiq,Al Bahah,Female,12
Saudi,25,25-29,,Al Bahah,Female,115
Non-Saudi,25,25-29,,Al Bahah,Female,21
Saudi,25,25-29,,Al Bahah,Female,281
Non-Saudi,25,25-29,,Al Bahah,Female,27
Saudi,25,25-29,,Al Bahah,Female,113
Non-Saudi,25,25-29,,Al Bahah,Female,14
Saudi,25,25-29,,Al Bahah,Female,231
Non-Saudi,25,25-29,,Al Bahah,Female,81
Saudi,25,25-29,,Al Bahah,Female,85
Non-Saudi,25,25-29,,Al Bahah,Female,10
Saudi,25,25-29,,Al Bahah,Female,90
Non-Saudi,25,25-29,,Al Bahah,Female,2
Saudi,25,25-29,,Al Bahah,Female,195
Non-Saudi,25,25-29,,Al Bahah,Female,28
Saudi,25,25-29,,,Female,1156
Non-Saudi,25,25-29,,,Female,231
Saudi,25,25-29,,,Female,321
Non-Saudi,25,25-29,,,Female,65
Saudi,25,25-29,,,Female,1350
Non-Saudi,25,25-29,,,Female,423
Saudi,25,25-29,,,Female,738
Non-Saudi,25,25-29,,,Female,83
Saudi,25,25-29,,,Female,135
Non-Saudi,25,25-29,,,Female,34
Saudi,25,25-29,,,Female,591
Non-Saudi,25,25-29,,,Female,114
Saudi,25,25-29,,,Female,377
Non-Saudi,25,25-29,,,Female,111
Saudi,25,25-29,,,Female,1300
Non-Saudi,25,25-29,,,Female,321
Saudi,25,25-29,,,Female,383
Non-Saudi,25,25-29,,,Female,35
Saudi,25,25-29,,,Female,91
Non-Saudi,25,25-29,,,Female,10
Saudi,25,25-29,,,Female,2225
Non-Saudi,25,25-29,,,Female,598
Saudi,25,25-29,,,Female,463
Non-Saudi,25,25-29,,,Female,261
Saudi,25,25-29,,,Female,312
Non-Saudi,25,25-29,,,Female,76
Saudi,25,25-29,,,Female,1272
Non-Saudi,25,25-29,,,Female,206
Saudi,25,25-29,,,Female,33422
Non-Saudi,25,25-29,,,Female,20602
Saudi,25,25-29,,,Female,203
Non-Saudi,25,25-29,,,Female,14
Saudi,25,25-29,,,Female,461
Non-Saudi,25,25-29,,,Female,95
Saudi,25,25-29,,,Female,201
Non-Saudi,25,25-29,,,Female,26
Saudi,25,25-29,,,Female,56
Non-Saudi,25,25-29,,,Female,6
Saudi,25,25-29,,,Female,465
Non-Saudi,25,25-29,,,Female,68
Saudi,25,25-29,,,Female,919
Non-Saudi,25,25-29,,,Female,179
Saudi,25,25-29,,,Female,405
Non-Saudi,25,25-29,,,Female,61
Saudi,25,25-29,,,Female,77
Non-Saudi,25,25-29,,,Female,18
Saudi,25,25-29,,,Female,112
Non-Saudi,25,25-29,,,Female,16
Saudi,25,25-29,,,Female,247
Non-Saudi,25,25-29,,,Female,51
Saudi,25,25-29,,,Female,205
Non-Saudi,25,25-29,,,Female,32
Saudi,25,25-29,,,Female,279
Non-Saudi,25,25-29,,,Female,59
Saudi,25,25-29,,,Female,133
Non-Saudi,25,25-29,,,Female,36
Saudi,25,25-29,,,Female,546
Non-Saudi,25,25-29,,,Female,71
Saudi,25,25-29,,,Female,64
Non-Saudi,25,25-29,,,Female,9
Saudi,25,25-29,,,Female,603
Non-Saudi,25,25-29,,,Female,77
Saudi,25,25-29,,,Female,255
Non-Saudi,25,25-29,,,Female,29
Saudi,25,25-29,,,Female,406
Non-Saudi,25,25-29,,,Female,46
Saudi,25,25-29,,,Female,410
Non-Saudi,25,25-29,,,Female,118
Saudi,25,25-29,,,Female,844
Non-Saudi,25,25-29,,,Female,165
Saudi,25,25-29,,,Female,51
Non-Saudi,25,25-29,,,Female,2
Saudi,25,25-29,,,Female,315
Non-Saudi,25,25-29,,,Female,41
Saudi,25,25-29,,,Female,336
Non-Saudi,25,25-29,,,Female,12
Saudi,25,25-29,,,Female,3989
Non-Saudi,25,25-29,,,Female,980
Saudi,25,25-29,,,Female,192
Non-Saudi,25,25-29,,,Female,22
Saudi,25,25-29,,,Female,138
Non-Saudi,25,25-29,,,Female,13
Saudi,25,25-29,,,Female,152
Non-Saudi,25,25-29,,,Female,13
Saudi,25,25-29,,,Female,1206
Non-Saudi,25,25-29,,,Female,267
Saudi,25,25-29,,,Female,166
Non-Saudi,25,25-29,,,Female,31
Saudi,25,25-29,,,Female,328
Non-Saudi,25,25-29,,,Female,17
Saudi,25,25-29,,,Female,371
Non-Saudi,25,25-29,,,Female,43
Saudi,25,25-29,,,Female,160
Non-Saudi,25,25-29,,,Female,11
Saudi,25,25-29,,,Female,7688
Non-Saudi,25,25-29,,,Female,2992
Saudi,25,25-29,,,Female,349
Non-Saudi,25,25-29,,,Female,20
Saudi,25,25-29,,,Female,328
Non-Saudi,25,25-29,,,Female,28
Saudi,25,25-29,,,Female,330
Non-Saudi,25,25-29,,,Female,22
Saudi,25,25-29,,,Female,147
Non-Saudi,25,25-29,,,Female,11
Saudi,25,25-29,,,Female,1900
Non-Saudi,25,25-29,,,Female,667
Saudi,25,25-29,,,Female,7269
Non-Saudi,25,25-29,,,Female,1153
Saudi,25,25-29,,,Female,1883
Non-Saudi,25,25-29,,,Female,822
Saudi,25,25-29,,,Female,2105
Non-Saudi,25,25-29,,,Female,1583
Saudi,25,25-29,,,Female,471
Non-Saudi,25,25-29,,,Female,123
Saudi,25,25-29,,,Female,7328
Non-Saudi,25,25-29,,,Female,2902
Saudi,25,25-29,,,Female,42
Non-Saudi,25,25-29,,,Female,8
Saudi,25,25-29,,,Female,3320
Non-Saudi,25,25-29,,,Female,440
Saudi,25,25-29,,,Female,341
Non-Saudi,25,25-29,,,Female,112
Saudi,25,25-29,,,Female,329
Non-Saudi,25,25-29,,,Female,76
Saudi,25,25-29,,,Female,2716
Non-Saudi,25,25-29,,,Female,753
Saudi,25,25-29,,,Female,266
Non-Saudi,25,25-29,,,Female,71
Saudi,25,25-29,,,Female,145
Non-Saudi,25,25-29,,,Female,25
Saudi,25,25-29,,,Female,114
Non-Saudi,25,25-29,,,Female,7
Saudi,25,25-29,,,Female,336
Non-Saudi,25,25-29,,,Female,48
Saudi,25,25-29,,,Female,442
Non-Saudi,25,25-29,,,Female,52
Saudi,25,25-29,,,Female,4106
Non-Saudi,25,25-29,,,Female,758
Saudi,25,25-29,,,Female,291
Non-Saudi,25,25-29,,,Female,43
Saudi,25,25-29,,,Female,185
Non-Saudi,25,25-29,,,Female,27
Saudi,25,25-29,,,Female,296
Non-Saudi,25,25-29,,,Female,69
Saudi,25,25-29,,,Female,1241
Non-Saudi,25,25-29,,,Female,174
Saudi,25,25-29,,,Female,824
Non-Saudi,25,25-29,,,Female,141
Saudi,25,25-29,,,Female,76
Non-Saudi,25,25-29,,,Female,22
Saudi,25,25-29,,,Female,405
Non-Saudi,25,25-29,,,Female,10
Saudi,25,25-29,,,Female,465
Non-Saudi,25,25-29,,,Female,59
Saudi,25,25-29,,,Female,130
Non-Saudi,25,25-29,,,Female,6
Saudi,25,25-29,,,Female,278
Non-Saudi,25,25-29,,,Female,48
Saudi,25,25-29,,,Female,534
Non-Saudi,25,25-29,,,Female,86
Saudi,25,25-29,,,Female,255
Non-Saudi,25,25-29,,,Female,19
Saudi,25,25-29,,,Female,525
Non-Saudi,25,25-29,,,Female,136
Saudi,25,25-29,,,Female,1075
Non-Saudi,25,25-29,,,Female,271
Saudi,25,25-29,,,Female,840
Non-Saudi,25,25-29,,,Female,297
Saudi,25,25-29,,,Female,1297
Non-Saudi,25,25-29,,,Female,385
Saudi,25,25-29,,,Female,344
Non-Saudi,25,25-29,,,Female,153
Saudi,25,25-29,,,Female,82
Non-Saudi,25,25-29,,,Female,20
Saudi,25,25-29,,,Female,125
Non-Saudi,25,25-29,,,Female,14
Saudi,25,25-29,,,Female,233
Non-Saudi,25,25-29,,,Female,27
Saudi,25,25-29,,,Female,456
Non-Saudi,25,25-29,,,Female,25
Saudi,25,25-29,,,Female,133
Non-Saudi,25,25-29,,,Female,8
Saudi,25,25-29,,,Female,154
Non-Saudi,25,25-29,,,Female,12
Saudi,25,25-29,,,Female,157
Non-Saudi,25,25-29,,,Female,36
Saudi,25,25-29,,,Female,79
Non-Saudi,25,25-29,,,Female,12
Saudi,25,25-29,,,Female,315
Non-Saudi,25,25-29,,,Female,57
Saudi,25,25-29,,,Female,2992
Non-Saudi,25,25-29,,,Female,916
Saudi,25,25-29,,,Female,116
Non-Saudi,25,25-29,,,Female,12
Saudi,25,25-29,,,Female,117
Non-Saudi,25,25-29,,,Female,16
Saudi,25,25-29,,,Female,2396
Non-Saudi,25,25-29,,,Female,735
Saudi,25,25-29,,,Female,701
Non-Saudi,25,25-29,,,Female,107
Saudi,25,25-29,,,Female,90
Non-Saudi,25,25-29,,,Female,7
Saudi,25,25-29,,,Female,178
Non-Saudi,25,25-29,,,Female,1
Saudi,25,25-29,,,Female,135
Non-Saudi,25,25-29,,,Female,10
Saudi,25,25-29,,,Female,332
Non-Saudi,25,25-29,,,Female,58
Saudi,25,25-29,,,Female,171
Non-Saudi,25,25-29,,,Female,52
Saudi,25,25-29,,,Female,332
Non-Saudi,25,25-29,,,Female,20
Saudi,25,25-29,,,Female,331
Non-Saudi,25,25-29,,,Female,43
Saudi,25,25-29,,,Female,1220
Non-Saudi,25,25-29,,,Female,268
Saudi,25,25-29,,,Female,235
Non-Saudi,25,25-29,,,Female,32
Saudi,25,25-29,,,Female,82
Non-Saudi,25,25-29,,,Female,12
Saudi,25,25-29,,,Female,3112
Non-Saudi,25,25-29,,,Female,870
Saudi,25,25-29,,,Female,322
Non-Saudi,25,25-29,,,Female,17
Saudi,25,25-29,,,Female,372
Non-Saudi,25,25-29,,,Female,42
Saudi,25,25-29,,,Female,150
Non-Saudi,25,25-29,,,Female,9
Saudi,25,25-29,,,Female,204
Non-Saudi,25,25-29,,,Female,32
Saudi,25,25-29,,,Female,1621
Non-Saudi,25,25-29,,,Female,120
Saudi,25,25-29,,,Female,270
Non-Saudi,25,25-29,,,Female,30
Saudi,25,25-29,,,Female,514
Non-Saudi,25,25-29,,,Female,84
Saudi,25,25-29,,,Female,251
Non-Saudi,25,25-29,,,Female,11
Saudi,25,25-29,,,Female,5829
Non-Saudi,25,25-29,,,Female,1282
Saudi,25,25-29,,,Female,419
Non-Saudi,25,25-29,,,Female,44
Saudi,25,25-29,,,Female,1402
Non-Saudi,25,25-29,,,Female,117
Saudi,25,25-29,,,Female,84
Non-Saudi,25,25-29,,,Female,4
Saudi,25,25-29,,,Female,520
Non-Saudi,25,25-29,,,Female,37
Saudi,25,25-29,,,Female,200
Non-Saudi,25,25-29,,,Female,8
Saudi,25,25-29,,,Female,511
Non-Saudi,25,25-29,,,Female,142
Saudi,25,25-29,,,Female,290
Non-Saudi,25,25-29,,,Female,22
Saudi,25,25-29,,,Female,15894
Non-Saudi,25,25-29,,,Female,11752
Saudi,25,25-29,,,Female,340
Non-Saudi,25,25-29,,,Female,34
Saudi,25,25-29,,,Female,531
Non-Saudi,25,25-29,,,Female,109
Saudi,25,25-29,,,Female,342
Non-Saudi,25,25-29,,,Female,22
Saudi,25,25-29,,,Female,10411
Non-Saudi,25,25-29,,,Female,10261
Saudi,25,25-29,,,Female,164
Non-Saudi,25,25-29,,,Female,8
Saudi,25,25-29,,,Female,39
Non-Saudi,25,25-29,,,Female,6
Saudi,25,25-29,,,Female,77
Non-Saudi,25,25-29,,,Female,8
Saudi,25,25-29,,,Female,146
Non-Saudi,25,25-29,,,Female,26
Saudi,25,25-29,,,Female,56
Non-Saudi,25,25-29,,,Female,4
Saudi,25,25-29,,,Female,614
Non-Saudi,25,25-29,,,Female,209
Saudi,25,25-29,,,Female,2295
Non-Saudi,25,25-29,,,Female,776
Saudi,25,25-29,,,Female,108
Non-Saudi,25,25-29,,,Female,7
Saudi,25,25-29,Al Bahah (Emirate HQ),Al Bahah,Male,425
Non-Saudi,25,25-29,Al Bahah (Emirate HQ),Al Bahah,Male,884
Saudi,25,25-29,Al Hujrah,Al Bahah,Male,88
Non-Saudi,25,25-29,Al Hujrah,Al Bahah,Male,50
Saudi,25,25-29,Al Aqiq,Al Bahah,Male,235
Non-Saudi,25,25-29,Al Aqiq,Al Bahah,Male,202
Saudi,25,25-29,,Al Bahah,Male,119
Non-Saudi,25,25-29,,Al Bahah,Male,75
Saudi,25,25-29,,Al Bahah,Male,293
Non-Saudi,25,25-29,,Al Bahah,Male,303
Saudi,25,25-29,,Al Bahah,Male,130
Non-Saudi,25,25-29,,Al Bahah,Male,95
Saudi,25,25-29,,Al Bahah,Male,251
Non-Saudi,25,25-29,,Al Bahah,Male,362
Saudi,25,25-29,,Al Bahah,Male,107
Non-Saudi,25,25-29,,Al Bahah,Male,54
Saudi,25,25-29,,Al Bahah,Male,107
Non-Saudi,25,25-29,,Al Bahah,Male,26
Saudi,25,25-29,,Al Bahah,Male,196
Non-Saudi,25,25-29,,Al Bahah,Male,128
Saudi,25,25-29,,,Male,1214
Non-Saudi,25,25-29,,,Male,1167
Saudi,25,25-29,,,Male,344
Non-Saudi,25,25-29,,,Male,346
Saudi,25,25-29,,,Male,1453
Non-Saudi,25,25-29,,,Male,1834
Saudi,25,25-29,,,Male,629
Non-Saudi,25,25-29,,,Male,473
Saudi,25,25-29,,,Male,116
Non-Saudi,25,25-29,,,Male,137
Saudi,25,25-29,,,Male,583
Non-Saudi,25,25-29,,,Male,441
Saudi,25,25-29,,,Male,424
Non-Saudi,25,25-29,,,Male,470
Saudi,25,25-29,,,Male,1306
Non-Saudi,25,25-29,,,Male,1399
Saudi,25,25-29,,,Male,334
Non-Saudi,25,25-29,,,Male,323
Saudi,25,25-29,,,Male,85
Non-Saudi,25,25-29,,,Male,26
Saudi,25,25-29,,,Male,2271
Non-Saudi,25,25-29,,,Male,3330
Saudi,25,25-29,,,Male,487
Non-Saudi,25,25-29,,,Male,810
Saudi,25,25-29,,,Male,315
Non-Saudi,25,25-29,,,Male,416
Saudi,25,25-29,,,Male,1344
Non-Saudi,25,25-29,,,Male,1548
Saudi,25,25-29,,,Male,34468
Non-Saudi,25,25-29,,,Male,89164
Saudi,25,25-29,,,Male,196
Non-Saudi,25,25-29,,,Male,136
Saudi,25,25-29,,,Male,457
Non-Saudi,25,25-29,,,Male,590
Saudi,25,25-29,,,Male,218
Non-Saudi,25,25-29,,,Male,244
Saudi,25,25-29,,,Male,57
Non-Saudi,25,25-29,,,Male,131
Saudi,25,25-29,,,Male,486
Non-Saudi,25,25-29,,,Male,430
Saudi,25,25-29,,,Male,889
Non-Saudi,25,25-29,,,Male,1656
Saudi,25,25-29,,,Male,349
Non-Saudi,25,25-29,,,Male,619
Saudi,25,25-29,,,Male,71
Non-Saudi,25,25-29,,,Male,106
Saudi,25,25-29,,,Male,133
Non-Saudi,25,25-29,,,Male,271
Saudi,25,25-29,,,Male,223
Non-Saudi,25,25-29,,,Male,330
Saudi,25,25-29,,,Male,244
Non-Saudi,25,25-29,,,Male,428
Saudi,25,25-29,,,Male,296
Non-Saudi,25,25-29,,,Male,513
Saudi,25,25-29,,,Male,146
Non-Saudi,25,25-29,,,Male,327
Saudi,25,25-29,,,Male,558
Non-Saudi,25,25-29,,,Male,481
Saudi,25,25-29,,,Male,68
Non-Saudi,25,25-29,,,Male,76
Saudi,25,25-29,,,Male,581
Non-Saudi,25,25-29,,,Male,560
Saudi,25,25-29,,,Male,231
Non-Saudi,25,25-29,,,Male,274
Saudi,25,25-29,,,Male,395
Non-Saudi,25,25-29,,,Male,342
Saudi,25,25-29,,,Male,395
Non-Saudi,25,25-29,,,Male,498
Saudi,25,25-29,,,Male,788
Non-Saudi,25,25-29,,,Male,939
Saudi,25,25-29,,,Male,61
Non-Saudi,25,25-29,,,Male,50
Saudi,25,25-29,,,Male,286
Non-Saudi,25,25-29,,,Male,382
Saudi,25,25-29,,,Male,338
Non-Saudi,25,25-29,,,Male,196
Saudi,25,25-29,,,Male,4306
Non-Saudi,25,25-29,,,Male,7058
Saudi,25,25-29,,,Male,220
Non-Saudi,25,25-29,,,Male,211
Saudi,25,25-29,,,Male,128
Non-Saudi,25,25-29,,,Male,154
Saudi,25,25-29,,,Male,170
Non-Saudi,25,25-29,,,Male,145
Saudi,25,25-29,,,Male,1123
Non-Saudi,25,25-29,,,Male,1931
Saudi,25,25-29,,,Male,176
Non-Saudi,25,25-29,,,Male,211
Saudi,25,25-29,,,Male,340
Non-Saudi,25,25-29,,,Male,126
Saudi,25,25-29,,,Male,419
Non-Saudi,25,25-29,,,Male,386
Saudi,25,25-29,,,Male,157
Non-Saudi,25,25-29,,,Male,54
Saudi,25,25-29,,,Male,7888
Non-Saudi,25,25-29,,,Male,14708
Saudi,25,25-29,,,Male,349
Non-Saudi,25,25-29,,,Male,194
Saudi,25,25-29,,,Male,428
Non-Saudi,25,25-29,,,Male,254
Saudi,25,25-29,,,Male,324
Non-Saudi,25,25-29,,,Male,170
Saudi,25,25-29,,,Male,154
Non-Saudi,25,25-29,,,Male,56
Saudi,25,25-29,,,Male,1809
Non-Saudi,25,25-29,,,Male,3082
Saudi,25,25-29,,,Male,7544
Non-Saudi,25,25-29,,,Male,6655
Saudi,25,25-29,,,Male,1871
Non-Saudi,25,25-29,,,Male,7438
Saudi,25,25-29,,,Male,2367
Non-Saudi,25,25-29,,,Male,9204
Saudi,25,25-29,,,Male,524
Non-Saudi,25,25-29,,,Male,613
Saudi,25,25-29,,,Male,7848
Non-Saudi,25,25-29,,,Male,16973
Saudi,25,25-29,,,Male,54
Non-Saudi,25,25-29,,,Male,67
Saudi,25,25-29,,,Male,3292
Non-Saudi,25,25-29,,,Male,3455
Saudi,25,25-29,,,Male,430
Non-Saudi,25,25-29,,,Male,609
Saudi,25,25-29,,,Male,294
Non-Saudi,25,25-29,,,Male,771
Saudi,25,25-29,,,Male,2726
Non-Saudi,25,25-29,,,Male,3574
Saudi,25,25-29,,,Male,300
Non-Saudi,25,25-29,,,Male,932
Saudi,25,25-29,,,Male,129
Non-Saudi,25,25-29,,,Male,169
Saudi,25,25-29,,,Male,102
Non-Saudi,25,25-29,,,Male,129
Saudi,25,25-29,,,Male,342
Non-Saudi,25,25-29,,,Male,345
Saudi,25,25-29,,,Male,460
Non-Saudi,25,25-29,,,Male,532
